OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5001,2,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5002,3,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5003,1,200
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5007,3,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5008,1,201
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
101,1001,2,2001,15-02-2021,10-03-2021,5009,2,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
102,1002,1,2002,01-03-2021,15-03-2021,5101,3,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
102,1002,1,2002,01-03-2021,15-03-2021,5102,1,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
102,1002,1,2002,01-03-2021,15-03-2021,5107,6,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
102,1002,1,2002,01-03-2021,15-03-2021,5108,8,201
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
102,1002,1,2002,01-03-2021,15-03-2021,5109,3,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5201,3,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5202,3,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5203,1,200
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5204,4,210
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5205,1,304
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5206,6,140
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
103,1003,3,2002,15-02-2021,01-03-2021,5207,2,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
104,1004,2,2003,16-02-2021,11-03-2021,5101,3,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
104,1004,2,2003,16-02-2021,11-03-2021,5102,1,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5206,6,140
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5207,2,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5301,2,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
106,1006,2,2001,15-02-2021,10-03-2021,5001,2,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
106,1006,2,2001,15-02-2021,10-03-2021,5002,3,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
107,1007,2,2001,15-02-2021,10-03-2021,5006,6,140
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
107,1007,2,2001,15-02-2021,10-03-2021,5007,3,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
108,1008,2,2001,15-02-2021,10-03-2021,5008,1,201
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
109,1009,1,2002,15-02-2021,10-03-2021,5009,2,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
109,1009,1,2002,01-03-2021,15-03-2021,5101,3,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
104,1004,2,2003,16-02-2021,11-03-2021,5103,5,200
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
104,1004,2,2003,16-02-2021,11-03-2021,5104,2,210
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5104,2,210
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5105,7,304
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5106,2,140
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5107,6,180
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5108,8,201
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5109,3,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5201,3,100.5
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
105,1005,2,2002,02-03-2021,16-03-2021,5205,1,304
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
109,1009,1,2002,01-03-2021,15-03-2021,5102,1,300
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
110,1010,2,2002,01-03-2021,15-03-2021,5103,5,200
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
110,1010,2,2002,01-03-2021,15-03-2021,5104,2,210
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
110,1010,2,2002,01-03-2021,15-03-2021,5105,7,304
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
110,1010,2,2002,01-03-2021,15-03-2021,5106,2,140
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
111,1011,3,2002,15-02-2021,01-03-2021,5203,1,200
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
111,1011,3,2002,15-02-2021,01-03-2021,5204,4,210
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
111,1011,3,2002,15-02-2021,01-03-2021,5205,1,304
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
111,1011,3,2002,15-02-2021,01-03-2021,5206,6,140
OrderID,CustomerID,OrderStatus,CarrierID,OrderRecivedDate,OrderFulfulmentDate,Productid,Qty,ProductPrice
111,1011,3,2002,15-02-2021,01-03-2021,5207,2,180
